date,state,fips,cases,deaths
1/21/2020,Washington,53,1,0
1/22/2020,Washington,53,1,0
1/23/2020,Washington,53,1,0
1/24/2020,Washington,53,1,0
1/25/2020,Washington,53,1,0
1/26/2020,Washington,53,1,0
1/27/2020,Washington,53,1,0
1/28/2020,Washington,53,1,0
1/29/2020,Washington,53,1,0
1/30/2020,Washington,53,1,0
1/31/2020,Washington,53,1,0
2/1/2020,Washington,53,1,0
2/2/2020,Washington,53,1,0
2/3/2020,Washington,53,1,0
2/4/2020,Washington,53,1,0
2/5/2020,Washington,53,1,0
2/6/2020,Washington,53,1,0
2/7/2020,Washington,53,1,0
2/8/2020,Washington,53,1,0
2/9/2020,Washington,53,1,0
2/10/2020,Washington,53,1,0
2/11/2020,Washington,53,1,0
2/12/2020,Washington,53,1,0
2/13/2020,Washington,53,1,0
2/14/2020,Washington,53,1,0
2/15/2020,Washington,53,1,0
2/16/2020,Washington,53,1,0
2/17/2020,Washington,53,1,0
2/18/2020,Washington,53,1,0
2/19/2020,Washington,53,1,0
2/20/2020,Washington,53,1,0
2/21/2020,Washington,53,1,0
2/22/2020,Washington,53,1,0
2/23/2020,Washington,53,1,0
2/24/2020,Washington,53,5,0
2/25/2020,Washington,53,5,0
2/26/2020,Washington,53,5,0
2/27/2020,Washington,53,5,0
2/28/2020,Washington,53,7,0
2/29/2020,Washington,53,10,1
3/1/2020,Washington,53,17,3
3/2/2020,Washington,53,23,6
3/3/2020,Washington,53,32,10
3/4/2020,Washington,53,47,11
3/5/2020,Washington,53,75,11
3/6/2020,Washington,53,86,12
3/7/2020,Washington,53,110,16
3/8/2020,Washington,53,141,19
3/9/2020,Washington,53,179,22
3/10/2020,Washington,53,279,24
3/11/2020,Washington,53,338,29
3/12/2020,Washington,53,419,32
3/13/2020,Washington,53,511,37
3/14/2020,Washington,53,609,40
3/15/2020,Washington,53,675,42
3/16/2020,Washington,53,794,48
3/17/2020,Washington,53,908,54
3/18/2020,Washington,53,1026,68
3/19/2020,Washington,53,1228,75
3/20/2020,Washington,53,1404,83
3/21/2020,Washington,53,1655,95
3/22/2020,Washington,53,1844,97
3/23/2020,Washington,53,2101,110
3/24/2020,Washington,53,2469,123
3/25/2020,Washington,53,2585,130
3/26/2020,Washington,53,3208,152
3/27/2020,Washington,53,3770,179
3/28/2020,Washington,53,4311,193
3/29/2020,Washington,53,4897,209
3/30/2020,Washington,53,5180,221
3/31/2020,Washington,53,5293,226
4/1/2020,Washington,53,5589,250
4/2/2020,Washington,53,6586,272
4/3/2020,Washington,53,6967,293
4/4/2020,Washington,53,7499,318
4/5/2020,Washington,53,7985,344
4/6/2020,Washington,53,8385,383
4/7/2020,Washington,53,8683,409
4/8/2020,Washington,53,9098,430
4/9/2020,Washington,53,9609,456
4/10/2020,Washington,53,9888,483
4/11/2020,Washington,53,10227,498
4/12/2020,Washington,53,10414,511
4/13/2020,Washington,53,10547,525
4/14/2020,Washington,53,10711,552
4/15/2020,Washington,53,10806,572
4/16/2020,Washington,53,11180,588
4/17/2020,Washington,53,11479,610
4/18/2020,Washington,53,11850,629
4/19/2020,Washington,53,11864,637
4/20/2020,Washington,53,12255,661
4/21/2020,Washington,53,12410,683
4/22/2020,Washington,53,12606,696
4/23/2020,Washington,53,12981,717
4/24/2020,Washington,53,13197,731
4/25/2020,Washington,53,13565,743
4/26/2020,Washington,53,13744,757
4/27/2020,Washington,53,13958,771
4/28/2020,Washington,53,14165,792
4/29/2020,Washington,53,14490,805
4/30/2020,Washington,53,14814,822
5/1/2020,Washington,53,15134,829
5/2/2020,Washington,53,15383,833
5/3/2020,Washington,53,15943,840
5/4/2020,Washington,53,16047,846
5/5/2020,Washington,53,16234,863
5/6/2020,Washington,53,16873,881
5/7/2020,Washington,53,17187,903
5/8/2020,Washington,53,17477,915
5/9/2020,Washington,53,17629,925
5/10/2020,Washington,53,17781,939
5/11/2020,Washington,53,18172,957
5/12/2020,Washington,53,18382,972
5/13/2020,Washington,53,18492,977
5/14/2020,Washington,53,18861,991
5/15/2020,Washington,53,19131,1008
5/16/2020,Washington,53,19336,1015
5/17/2020,Washington,53,19514,1016
5/18/2020,Washington,53,19756,1020
5/19/2020,Washington,53,19988,1042
5/20/2020,Washington,53,20110,1045
5/21/2020,Washington,53,20280,1054
5/22/2020,Washington,53,20526,1061
5/23/2020,Washington,53,20740,1062
5/24/2020,Washington,53,20989,1069
5/25/2020,Washington,53,21265,1076
5/26/2020,Washington,53,21538,1091
5/27/2020,Washington,53,21825,1106
5/28/2020,Washington,53,22091,1116
5/29/2020,Washington,53,22377,1120
5/30/2020,Washington,53,22618,1126
5/31/2020,Washington,53,22814,1126
6/1/2020,Washington,53,23272,1133
6/2/2020,Washington,53,23608,1139
6/3/2020,Washington,53,23776,1145
6/4/2020,Washington,53,23999,1150
6/5/2020,Washington,53,24546,1160
6/6/2020,Washington,53,24767,1163
6/7/2020,Washington,53,25064,1163
6/8/2020,Washington,53,25593,1168
6/9/2020,Washington,53,25796,1181
6/10/2020,Washington,53,25940,1183
6/11/2020,Washington,53,26172,1198
6/12/2020,Washington,53,26576,1207
6/13/2020,Washington,53,26920,1216
6/14/2020,Washington,53,27135,1220
6/15/2020,Washington,53,27577,1223
6/16/2020,Washington,53,27949,1234
6/17/2020,Washington,53,28270,1229
6/18/2020,Washington,53,28663,1246
6/19/2020,Washington,53,29045,1258
6/20/2020,Washington,53,29466,1268
6/21/2020,Washington,53,29797,1271
6/22/2020,Washington,53,30443,1277
6/23/2020,Washington,53,30778,1285
6/24/2020,Washington,53,31400,1294
6/25/2020,Washington,53,31998,1301
6/26/2020,Washington,53,32489,1305
6/27/2020,Washington,53,33031,1311
6/28/2020,Washington,53,33341,1311
6/29/2020,Washington,53,34036,1321
6/30/2020,Washington,53,34541,1333
7/1/2020,Washington,53,35258,1340
7/2/2020,Washington,53,35921,1343
7/3/2020,Washington,53,36417,1353
7/4/2020,Washington,53,36799,1355
7/5/2020,Washington,53,37468,1360
7/6/2020,Washington,53,38517,1370
7/7/2020,Washington,53,39063,1385
7/8/2020,Washington,53,39661,1395
7/9/2020,Washington,53,40369,1410
7/10/2020,Washington,53,41090,1426
7/11/2020,Washington,53,41326,1426
7/12/2020,Washington,53,42181,1438
7/13/2020,Washington,53,43538,1439
7/14/2020,Washington,53,44257,1465
7/15/2020,Washington,53,45004,1486
7/16/2020,Washington,53,46268,1492
7/17/2020,Washington,53,47226,1498
7/18/2020,Washington,53,47889,1509
7/19/2020,Washington,53,48601,1512
7/20/2020,Washington,53,49949,1521
7/21/2020,Washington,53,50746,1531
7/22/2020,Washington,53,51442,1534
